,YEARMODA,MAX,MIN,TEMP1,TEMP2,DIFF,TEMP_F,TEMP_KELVIN
0,20240601,26.2,18.4,24.2,23.2,7.800000000000001,75.56,297.34999999999997
1,20240602,24.4,17.1,20.7,24.2,7.299999999999997,69.25999999999999,293.84999999999997
2,20240603,25.7,15.2,22.5,23.1,10.5,72.5,295.65
3,20240604,24.6,15.7,19.3,24.6,8.900000000000002,66.74000000000001,292.45
4,20240605,23.4,12.8,20.3,23.2,10.599999999999998,68.53999999999999,293.45
5,20240606,19.3,13.6,19.2,14.9,5.700000000000001,66.56,292.34999999999997
6,20240607,18.5,9.2,16.6,17.5,9.3,61.88,289.75
7,20240608,17.6,8.9,14.1,17.0,8.700000000000001,57.379999999999995,287.25
8,20240609,15.5,11.3,12.8,15.4,4.199999999999999,55.040000000000006,285.95
9,20240610,17.6,8.2,13.5,17.6,9.400000000000002,56.3,286.65
10,20240611,18.5,10.5,15.1,17.8,8.0,59.18,288.25
11,20240612,17.9,11.1,14.9,17.5,6.799999999999999,58.82,288.04999999999995
12,20240613,17.7,11.5,15.2,17.7,6.199999999999999,59.36,288.34999999999997
13,20240614,,11.5,15.7,18.1,,60.26,288.84999999999997
14,20240615,19.0,9.0,16.1,18.9,10.0,60.980000000000004,289.25
15,20240616,21.5,14.0,18.0,20.2,7.5,64.4,291.15
16,20240617,22.9,15.4,19.7,20.6,7.499999999999998,67.46000000000001,292.84999999999997
17,20240618,21.7,14.7,18.6,21.4,7.0,65.48,291.75
18,20240619,17.8,12.8,16.1,16.8,5.0,60.980000000000004,289.25
19,20240620,20.8,13.2,15.5,20.5,7.600000000000001,59.900000000000006,288.65
20,20240621,22.2,11.5,18.7,22.1,10.7,65.66,291.84999999999997
21,20240622,21.4,10.8,18.6,20.9,10.599999999999998,65.48,291.75
22,20240623,23.1,11.6,20.4,22.5,11.500000000000002,68.72,293.54999999999995
23,20240624,,16.7,19.2,21.0,,66.56,292.34999999999997
24,20240625,25.7,12.3,20.6,25.0,13.399999999999999,69.08000000000001,293.75
25,20240626,25.7,15.9,22.2,25.5,9.799999999999999,71.96000000000001,295.34999999999997
26,20240627,,15.3,22.9,26.9,,73.22,296.04999999999995
27,20240628,27.2,17.0,25.4,27.2,10.2,77.72,298.54999999999995
28,20240629,23.9,16.6,19.5,22.0,7.299999999999997,67.1,292.65
29,20240630,22.7,14.2,20.1,21.1,8.5,68.18,293.25
30,20240701,21.4,16.8,19.9,19.9,4.599999999999998,67.82,293.04999999999995
31,20240702,23.4,14.0,19.8,23.4,9.399999999999999,67.64,292.95
32,20240703,17.4,13.1,14.2,16.6,4.299999999999999,57.56,287.34999999999997
33,20240704,20.6,13.5,17.7,20.2,7.100000000000001,63.86,290.84999999999997
34,20240705,19.6,14.0,18.3,19.0,5.600000000000001,64.94,291.45
35,20240706,19.0,11.3,11.4,18.7,7.699999999999999,52.519999999999996,284.54999999999995
36,20240707,19.7,15.0,16.6,18.5,4.699999999999999,61.88,289.75
37,20240708,21.3,13.8,18.6,21.3,7.5,65.48,291.75
38,20240709,,13.0,19.1,22.5,,66.38,292.25
39,20240710,,12.5,20.1,22.0,,68.18,293.25
40,20240711,,17.0,19.7,20.9,,67.46000000000001,292.84999999999997
41,20240712,22.7,17.2,19.2,22.2,5.5,66.56,292.34999999999997
42,20240713,24.7,16.3,23.1,24.5,8.399999999999999,73.58000000000001,296.25
43,20240714,21.3,17.3,18.9,20.1,4.0,66.02,292.04999999999995
44,20240715,22.3,14.9,19.5,22.0,7.4,67.1,292.65
45,20240716,24.3,15.4,20.6,24.3,8.9,69.08000000000001,293.75
46,20240717,24.3,17.9,21.6,23.5,6.400000000000002,70.88,294.75
47,20240718,22.5,16.9,19.1,22.5,5.600000000000001,66.38,292.25
48,20240719,20.7,16.1,17.7,20.0,4.599999999999998,63.86,290.84999999999997
49,20240720,22.8,16.1,19.3,19.9,6.699999999999999,66.74000000000001,292.45
50,20240721,,16.7,19.0,20.7,,66.2,292.15
51,20240722,25.1,16.9,22.3,24.7,8.200000000000003,72.14,295.45
52,20240723,,19.5,22.3,24.9,,72.14,295.45
53,20240724,,20.2,22.4,24.2,,72.32,295.54999999999995
54,20240725,26.1,18.5,22.3,26.1,7.600000000000001,72.14,295.45
55,20240726,26.7,17.9,24.3,26.4,8.8,75.74000000000001,297.45
56,20240727,25.1,,22.7,24.8,,72.86,295.84999999999997
57,20240728,23.7,,20.9,23.6,,69.62,294.04999999999995
58,20240729,24.9,,20.2,24.9,,68.36,293.34999999999997
59,20240730,23.5,17.6,18.8,22.7,5.899999999999999,65.84,291.95
60,20240731,23.2,14.6,18.9,21.4,8.6,66.02,292.04999999999995
61,20240801,21.7,13.7,16.7,21.0,8.0,62.06,289.84999999999997
62,20240802,21.7,14.7,16.8,21.7,7.0,62.24,289.95
63,20240803,22.5,14.9,17.8,18.3,7.6,64.03999999999999,290.95
64,20240804,21.8,15.3,17.8,19.9,6.5,64.03999999999999,290.95
65,20240805,21.0,15.0,19.3,19.6,6.0,66.74000000000001,292.45
66,20240806,22.3,16.6,18.8,22.3,5.699999999999999,65.84,291.95
67,20240807,22.3,13.3,18.7,21.3,9.0,65.66,291.84999999999997
68,20240808,24.0,14.2,21.4,23.9,9.8,70.52,294.54999999999995
69,20240809,24.1,17.1,22.2,24.1,7.0,71.96000000000001,295.34999999999997
70,20240810,21.0,16.5,17.4,21.0,4.5,63.31999999999999,290.54999999999995
71,20240811,21.0,14.0,18.0,15.2,7.0,64.4,291.15
72,20240812,17.4,12.7,14.7,16.0,4.699999999999999,58.46,287.84999999999997
73,20240813,23.9,12.2,19.2,23.4,11.7,66.56,292.34999999999997
74,20240814,23.8,13.9,20.4,23.8,9.9,68.72,293.54999999999995
75,20240815,23.9,14.3,20.7,23.9,9.599999999999998,69.25999999999999,293.84999999999997
76,20240816,21.2,18.3,19.5,20.9,2.8999999999999986,67.1,292.65
77,20240817,22.6,16.9,20.0,21.4,5.700000000000003,68.0,293.15
78,20240818,21.2,12.5,18.5,21.2,8.7,65.30000000000001,291.65
79,20240819,22.3,15.1,18.8,22.3,7.200000000000001,65.84,291.95
80,20240820,21.0,10.4,17.2,20.9,10.6,62.96,290.34999999999997
81,20240821,22.3,16.0,20.8,20.6,6.300000000000001,69.44,293.95
82,20240822,22.1,,19.7,20.8,,67.46000000000001,292.84999999999997
83,20240823,20.3,13.0,18.7,18.2,7.300000000000001,65.66,291.84999999999997
84,20240824,19.1,15.4,17.8,18.6,3.700000000000001,64.03999999999999,290.95
85,20240825,25.9,14.4,19.0,25.9,11.499999999999998,66.2,292.15
86,20240826,20.0,14.5,17.3,19.7,5.5,63.14,290.45
87,20240827,20.5,15.3,17.9,20.4,5.199999999999999,64.22,291.04999999999995
88,20240828,21.6,14.2,18.7,21.3,7.400000000000002,65.66,291.84999999999997
89,20240829,21.9,,16.6,21.8,,61.88,289.75
90,20240830,24.6,16.0,20.7,23.5,8.600000000000001,69.25999999999999,293.84999999999997
91,20240831,,13.7,13.9,18.7,,57.019999999999996,287.04999999999995
